"Code_postal","coordonnees_gps1","coordonnees_gps2"
"04330",43.97392893598751,6.37080635940375
"04250",44.348715552758335,6.088009040869999
"04340",44.41593709719999,6.402378942343334
"04120",43.83070204471429,6.521175494778572
"04700",43.94163206295,5.954582222255
"04220",43.77186961755,5.75946392133
"04270",43.96420324644,6.208153196412999
"04230",44.0512723610875,5.80442861695375
"04350",44.0336660524,6.0504243737
"04510",44.043791546040005,6.1055643204239995
"04530",44.49824391493333,6.776075477483334
"04500",43.77125393211429,6.085624392362858
"04600",44.07232080155,5.97262814325
"05160",44.535447530039995,6.359291099474
"06260",43.96553612053846,6.939403957286155
"04110",43.89243954272499,5.65351921143
"04380",44.161126631725,6.132086033644999
"04290",44.146660824399994,6.022409394259999
"04320",43.97686873055,6.7705122593525
"04240",43.97994459273334,6.680892932590001
"04400",44.38048260263333,6.647972686799999
